#{"t_start": 1757053935.2057338, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
265.0,2795,1889.73313
110.0,2293,1899.033865
155.0,2295,1905.557152
180.0,2517,1913.114568
55.0,1303,1916.75068
210.0,4553,1930.001643
185.0,2359,1936.831779
195.0,4073,1948.752767
180.0,2387,1955.66836
210.0,2607,1963.356963
50.0,1231,1966.90755
110.0,1243,1970.442156
225.0,2657,1978.531931
210.0,2369,1985.687694
135.0,2389,1993.15027
260.0,3353,2003.136343
135.0,1825,2008.399824
155.0,2351,2015.261962
60.0,1209,2018.823563
355.0,2527,2026.56576
180.0,2409,2033.78153
135.0,2297,2041.618385
210.0,2337,2049.109424
180.0,2455,2057.060975
125.0,1791,2062.647309
260.0,2873,2072.096818
405.0,4419,2086.802825
75.0,1479,2091.204945
210.0,2377,2098.703206
75.0,1231,2102.576666
105.0,1687,2108.09422
210.0,2367,2115.327719
125.0,1575,2120.289691
235.0,4241,2133.620001
105.0,2065,2140.133584
110.0,2109,2146.663321
145.0,2395,2154.279084
410.0,2447,2161.758788
105.0,1171,2165.412438
235.0,2519,2173.200379
210.0,2435,2180.719601
135.0,2111,2187.476302
80.0,1451,2192.016871
195.0,2447,2199.360016
75.0,1401,2203.61244
210.0,2555,2213.992501
50.0,1139,2217.396759
180.0,2599,2225.919777
110.0,1929,2232.175971
210.0,2437,2240.340957
30.0,1167,2244.026503
180.0,2487,2251.85721
210.0,2167,2258.567292
185.0,2487,2266.182158
290.0,4149,2279.319861
110.0,1535,2283.994792
105.0,1559,2288.929174
105.0,1537,2293.590336
210.0,2431,2300.970728
150.0,2099,2307.267975
135.0,2069,2314.143655
55.0,1075,2317.473438
155.0,2465,2325.143322
145.0,2131,2331.830831
180.0,2391,2339.258392
210.0,2523,2347.022685
180.0,2453,2354.598977
260.0,2989,2364.100108
120.0,2173,2370.958633
210.0,2373,2378.476658
210.0,2453,2385.772902
160.0,2051,2392.524711
265.0,2523,2400.223001
30.0,1621,2405.261271
110.0,2135,2412.037394
30.0,1031,2415.243821
150.0,2385,2422.815632
55.0,1175,2426.192415
50.0,1371,2430.547685
80.0,1233,2435.034924
110.0,1921,2441.142421
210.0,2549,2449.603116
120.0,2371,2457.610542
120.0,1913,2463.893806
45.0,1443,2468.347154
75.0,1607,2473.445041
50.0,1245,2477.390413
50.0,1133,2480.877378
105.0,1917,2487.231206
120.0,2043,2493.902799
210.0,2715,2502.885664
110.0,2267,2510.425555
110.0,1923,2517.482514
140.0,2031,2524.307009
80.0,1327,2528.527801
230.0,2797,2540.603305
500.0,2723,2549.499904
80.0,1095,2553.002283
105.0,1119,2556.298076
50.0,1121,2559.803537
130.0,1985,2566.564298
180.0,2481,2574.515464
105.0,1337,2578.691642
30.0,1031,2582.138631
120.0,1857,2589.183097
110.0,2021,2595.678174
50.0,1055,2599.116132
305.0,3887,2611.669977
90.0,2053,2618.346288
90.0,1319,2622.634104
370.0,4181,2636.108126
210.0,2573,2644.566147
385.0,2351,2652.074002
210.0,2425,2660.074162
245.0,2885,2669.473007
260.0,3021,2679.904575
180.0,2381,2688.569829
155.0,2493,2697.204203
135.0,2513,2705.733825
265.0,3275,2717.653786
210.0,2445,2726.053725
110.0,1931,2732.729614
210.0,2557,2743.227897
180.0,2499,2751.85246
90.0,1279,2755.785127
105.0,1901,2761.862174
210.0,2529,2770.035288
105.0,1971,2776.38356
75.0,1161,2780.333304
155.0,2355,2788.598318
105.0,2067,2796.044934
110.0,1899,2802.793266
265.0,2885,2812.435905
470.0,2837,2823.014523
340.0,2361,2830.75328
110.0,2369,2838.744888
110.0,1245,2842.760659
410.0,2523,2851.884595
105.0,1857,2858.548486
210.0,2585,2868.194917
165.0,2395,2876.953267
150.0,2403,2885.374612
270.0,2795,2898.311615
50.0,1057,2901.922944
210.0,2493,2910.850006
150.0,3735,2924.586059
210.0,2505,2934.198066
50.0,1125,2938.079228
155.0,1531,2943.509028
50.0,1417,2949.086355
75.0,1147,2953.051075
135.0,1861,2959.966936
210.0,2409,2968.856144
210.0,2401,2977.730132
80.0,1861,2984.281487
135.0,2295,2992.318598
155.0,2433,3001.201304
135.0,1951,3008.185662
135.0,2341,3015.984384
185.0,2381,3024.3358
410.0,2451,3034.150493
355.0,2491,3043.527576
380.0,2481,3053.929104
